"","Dp","Hs","Tp","Ta","Temp","lag","season"
"100319","116","6.28","13.33","9.21","26.0","123","3"
"100320","123","5.99","13.33","8.95","26.0","116","3"
"100321","120","5.99","13.33","9.02","26.0","123","3"
"100322","121","5.11","11.11","8.35","26.1","120","3"
"100323","118","5.39","12.5","8.72","26.3","121","3"
"100324","120","5.07","11.76","8.29","26.4","118","3"
"100325","120","5.22","12.5","8.17","26.4","120","3"
"100326","120","5.08","12.5","8.28","26.3","120","3"
"100327","117","5.28","10.53","8.19","26.1","120","3"
"100328","116","4.97","12.5","8.35","26.0","117","3"
"100329","125","5.09","10.53","8.36","26.0","116","3"
"100330","128","5.16","11.11","8.17","26.1","125","3"
"100331","123","5.48","11.76","8.48","26.1","128","3"
"100332","128","5.6","10.53","8.59","26.1","123","3"
"100333","132","5.09","11.76","8.18","26.2","128","3"
"100334","117","4.96","10.53","8.09","26.2","132","3"
"100335","124","5.58","11.11","8.67","26.2","117","3"
"100336","125","5.0","11.76","8.43","26.1","124","3"
"100337","117","5.3","11.11","8.46","26.1","125","3"
"100338","114","4.92","9.88","8.2","26.1","117","3"
"100339","124","4.94","11.11","8.18","26.1","114","3"
"100340","127","4.78","11.76","8.36","26.2","124","3"
"100341","117","5.22","10.53","8.38","26.1","127","3"
"100342","137","5.07","11.76","8.39","26.1","117","3"
"100343","135","5.12","12.5","8.45","26.1","137","3"
"100344","127","5.07","11.76","8.4","26.2","135","3"
"100345","128","5.22","12.5","8.47","26.3","127","3"
"100346","128","4.58","11.76","8.22","26.4","128","3"
"100347","124","4.84","11.11","8.32","26.4","128","3"
"100348","132","4.53","11.76","8.15","26.4","124","3"
"100349","132","4.13","11.11","7.54","26.4","132","3"
"100350","144","4.55","11.11","8.09","26.4","132","3"
"100351","137","4.49","11.11","8.06","26.4","144","3"
"100352","124","4.99","9.88","8.06","26.4","137","3"
"100353","137","4.37","11.11","7.96","26.4","124","3"
"100354","134","4.15","10.53","7.6","26.4","137","3"
"100355","138","3.97","11.11","7.63","26.4","134","3"
"100356","128","3.75","9.88","7.41","26.3","138","3"
"100357","135","3.57","9.88","7.12","26.3","128","3"
"100358","127","3.85","9.09","7.14","26.3","135","3"
"100359","130","3.73","10.53","7.3","26.3","127","3"
"100360","132","3.51","9.09","6.85","26.3","130","3"
"100361","141","3.91","9.88","7.25","26.3","132","3"
"100362","125","3.56","9.09","6.97","26.3","141","3"
"100363","132","3.63","9.88","6.97","26.3","125","3"
"100364","121","3.99","9.09","7.47","26.3","132","3"
"100365","134","3.65","9.09","7.04","26.3","121","3"
"100366","132","3.61","9.09","7.23","26.4","134","3"
"100367","128","3.32","9.09","6.81","26.4","132","3"
"100368","125","3.27","9.09","6.66","26.4","128","3"
"100369","138","3.35","8.33","6.8","26.4","125","3"
"100370","135","3.53","8.33","7.03","26.5","138","3"
"100371","127","3.01","9.09","6.85","26.5","135","3"
"100372","135","3.18","8.33","6.8","26.5","127","3"
"100373","128","2.93","9.09","6.57","26.5","135","3"
"100374","142","2.77","8.33","6.35","26.5","128","3"
"100375","137","2.96","8.33","6.66","26.5","142","3"
"100376","130","2.94","8.33","6.75","26.9","137","3"
"100377","138","3.01","8.33","6.82","27.0","130","3"
"100378","130","2.8","9.09","6.56","27.0","138","3"
"100379","128","2.79","8.33","6.53","27.0","130","3"
"100380","134","2.77","8.33","6.45","27.0","128","3"
"100381","134","2.65","7.69","6.31","27.0","134","3"
"100382","131","2.72","8.33","6.44","27.0","134","3"
"100383","125","2.85","8.33","6.51","27.0","131","3"
"100384","131","2.68","8.33","6.35","27.0","125","3"
"100385","127","2.81","8.33","6.39","27.0","131","3"
"100386","132","2.73","7.14","6.23","27.0","127","3"
"100387","123","2.61","8.33","6.38","27.0","132","3"
"100388","113","2.59","8.33","6.3","27.1","123","3"
"100389","127","2.45","8.33","6.3","27.1","113","3"
"100390","127","2.57","7.69","6.31","27.0","127","3"
"100391","114","2.68","8.33","6.52","27.0","127","3"
"100392","121","2.37","7.69","6.24","27.0","114","3"
"100393","128","2.63","8.33","6.42","27.0","121","3"
"100394","128","2.6","8.33","6.41","27.0","128","3"
"100395","124","2.46","7.69","6.24","27.0","128","3"
"100396","132","2.56","7.69","6.46","27.0","124","3"
"100397","134","2.55","7.69","6.4","26.9","132","3"
"100398","131","2.34","8.33","6.3","26.5","134","3"
"100399","130","2.38","6.67","6.13","26.5","131","3"
"100400","138","2.51","7.69","6.4","26.5","130","3"
"100401","138","2.42","7.69","6.35","26.5","138","3"
"100402","139","2.26","7.14","6.25","26.5","138","3"
"100403","142","2.31","7.69","6.31","26.5","139","3"
"100404","141","2.33","7.14","6.44","26.5","142","3"
